"Code","Name"
"A100","A100 Можайское шоссе"
"A102","A102 автодорога Москва - Раменское"
"A104","A104 автодорога Москва - Дубна"
"A105","A105 автодорога в аэропорт Домодедово"
"A106","A106 Рублево-Успенское шоссе"
"A107","A107 Московское малое кольцо"
"A108","A108 Московское большое кольцо"
"A109","A109 Ильинское шоссе"
"A111","A111 подъезд к ""Завидово"""
"A113","A113 ЦКАД"
"A114","A114 автодорога от Вологды до трассы ""Кола"""
"A115","A115 автодорога Зуево - Новая Ладога"
"A117","A117 автодорога Опочка - раница с Белоруссией"
"A118","A118 Кольцевая автомобильная дорога вокруг г. Санкт-Петербурга"
"A119","A119 автодорога Вологда - Медвежьегорск - Р21 «Кола»"
"A121","A121 Сортавала"
"A122","A122 Выборгское шоссе"
"A123","A123 Приморское шоссе"
"A128","A128 Дорога жизни"
"A129","A129 автодорога Санкт-Петербург - Сортавала"
"A130","A130 автодорога Москва - Шумячи (граница с Белоруссией)"
"A132","A132 автодорога М1 ""Беларусь"" - Смоленск"
"A133","A133 М4 ""Дон"" - Елецкая Лазовка - Боринское - Липецк"
"A134","A134 автодорога М4 ""Дон"" - Воронеж"
"A135","A135 Восточное шоссе"
"A136","A136 Ростовское шоссе"
"A142","A142 автодорога Тросна - Калиновка"
"A143","A143 автодорога Тамбов - Шацк"
"A146","A146 автодорога Краснодар - Верхнебаканский"
"A147","A147 автодорога Джубга - Сочи - граница с Абхазией"
"A148","A148 Дублер Курортного проспекта"
"A149","A149 Старое Краснополянское шоссе"
"A151","A151 автодорога Цивильск - Ульяновск"
"A153","A153 автодорога Нытва - Кудымкар"
"A154","A154 автодорога Урвань - Верхняя Балкария"
"A155","A155 автодорога Черкесск - Домбай - граница с Абхазией"
"A157","A157 автодорога Минеральные Воды (аэропорт) - А155 Карачаевск"
"A158","A158 автодорога Прохладный - Эльбрус"
"A160","A160 автодорога Майкоп - Кореновск"
"A161","A161 автодорога Владикавказ - Нижний Ларс"
"A162","A162 автодорога Владикавказ - Алагир"
"A164","A164 Транскам"
"A165","A165 автодорога Лермонтов - Черкесск"
"A167","A167 автодорога Кочубей - Минеральные Воды"
"A17","A17 Керчь - Ялта"
"A18","A18 Джанкой - Армянск"
"A180","A180 Нарва"
"A181","A181 Скандинавия"
"A184","A184 автодорога Уссурийск - Пограничный"
