"Code","Name","Count"
"M5","M5 Урал","140"
"M7","M7 М7-Волга","120"
"M4","M4 Дон","85"
"P254","P254 Иртыш","70"
"P255","P255 Сибирь","55"
"P217","P217 Кавказ","53"
"KZ.M32","KZ.M32 М32 ""граница России (на Самару) - Шымкент""","48"
"M8","M8 Холмогоры","47"
"M2","M2 Крым","47"
"M10","M10 Россия","47"
"P22","P22 Каспий","40"
"P402","P402 автодорога Тюмень - Омск","36"
"P404","P404 автодорога Тюмень - Ханты-Мансийск","29"
"A108","A108 Московское большое кольцо","28"
"P132","P132 Золотое кольцо","27"
"P256","P256 Чуйский тракт","27"
"P239","P239 автодорога Казань - граница с Казахстаном","27"
"KZ.M36","KZ.M36 М36 ""граница России (на Екатеринбург) - Алматы""","27"
"M1","M1 Беларусь","26"
"M3","M3 Украина","26"
"A107","A107 Московское малое кольцо","25"
"A331","A331 Вилюй","24"
"P258","P258 Байкал","23"
"M9","M9 Балтия","23"
"P351","P351 автодорога Екатеринбург - Тюмень","21"
"P240","P240 автодорога Уфа - Оренбург","20"
"P21","P21 Кола","20"
"P226","P226 аводорога Самара - Волгоград","19"
"A147","A147 автодорога Джубга - Сочи - граница с Абхазией","19"
"P120","P120 автодорога Орел - граница Белоруссии","18"
"A360","A360 Лена","17"
"P242","P242 автодорога Пермь - Екатеринбург","17"
"P23","P23 автодорога Санкт-Петербург - граница с Республикой Белоруссия","16"
"P297","P297 Амур","16"
"P176","P176 Вятка","16"
"A370","A370 Уссури","16"
"P257","P257 Енисей","16"
"P152","P152 автодорога Ростов - Нижний Новгород","15"
"P298","P298 автодорога Курск - автомобильная дорога Р-22 ""Каспий""","14"
"A298","A298 автомобильная дорога Р-208 ""Тамбов - Пенза"" - Саратов - Пристанное - Ершов - Озинки - граница с Республикой Казахстан","14"
"P384","P384 автодорога Новосибирск - Юрга","13"
"A130","A130 автодорога Москва - Шумячи (граница с Белоруссией)","13"
"P315","P315 автодорога Уфа - Пермь (Р345)","13"
"P268","P268 автодорога Батайск - Краснодар","13"
"P243","P243 Кострома - Шарья - Киров - Пермь","13"
"P225","P225 автодорога Самара - Бугуруслан","13"
"P352","P352 Серовский тракт","13"
"A17","A17 Керчь - Ялта","13"
"P105","P105 Егорьевское шоссе, Касимовское шоссе","12"
"P158","P158 автодорога Нижний Новгород - Саратов","12"
"A350","A350 автодорога Чита - граница с Китаем","12"
"A23","A23 Керчь - Севастополь","12"
"A188","A188 автодорога Угловое - Находка","12"
"P216","P216 автодорога Астрахань - Ставрополь","12"
"P269","P269 автодорога Батайск - Ставрополь","12"
"P119","P119 автодорога Орел - Тамбов","11"
"A260","A260 Волгоград - МАПП ""Изварино"" граница с Украиной","11"
"A240","A240 автодорога Брянск - граница с Республикой Белоруссия","11"
"M11","M11 Нева","11"
"A146","A146 автодорога Краснодар - Верхнебаканский","11"
"KZ.M38","KZ.M38 М38 ""граница России (на Омск) - граница КНР""","11"
"P246","P246 автодорога Бугульма - граница с Казахстаном (на Уральск)","11"
"P361","P361 автодорога Магнитогорск - Ира","11"
"M12","M12 Восток","10"
"A100","A100 Можайское шоссе","10"
"A118","A118 Кольцевая автомобильная дорога вокруг г. Санкт-Петербурга","10"
"A102","A102 автодорога Москва - Раменское","10"
"A104","A104 автодорога Москва - Дубна","9"
"P262","P262 автодорога Ставрополь - Крайновка","9"
"P159","P159 автодорога Нижний Новгород - Яранск","9"
"P317","P317 автодорога Баженово - Черная Речка","9"
"P228","P228 автодорога Сызрань - Волгоград","9"
"A180","A180 Нарва","9"
"P104","P104 автодорога Сергиев Посад - Череповец","9"
"P380","P380 автодорога Новосибирск - Барнаул","9"
"P157","P157 автодорога Урень - Котлас","8"
"P215","P215 автодорога Астрахань - Махачкала","8"
"P84","P84 автодорога Тверь - Устюжна","8"
"P409","P409 автодорога Красноярск - Енисейск","8"
"P111","P111 Пятницкое шоссе","8"
"P115","P115 автодорога Егорьевск - Ненашево","8"
